,irrad
795,0.0
796,0.0
797,0.0
798,0.0
799,3100.0
800,9800.0
801,25900.0
802,34400.0
803,38500.0
804,46500.0
805,30500.0
806,27000.0
807,11300.0
808,4700.0
809,100.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,3600.0
824,20200.0
825,30600.0
826,44000.0
827,53300.0
828,55900.0
829,48700.0
830,33000.0
831,11200.0
832,4400.0
833,300.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,5000.0
848,15800.0
849,34800.0
850,46000.0
851,52300.0
852,54400.0
853,49400.0
854,39200.0
855,24600.0
856,8600.0
857,300.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,100.0
871,7200.0
872,22500.0
873,37500.0
874,49600.0
875,56500.0
876,57000.0
877,51300.0
878,40100.0
879,24800.0
880,8400.0
881,200.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,100.0
895,5000.0
896,20100.0
897,36000.0
898,45900.0
899,52900.0
900,52000.0
901,47400.0
902,39600.0
903,26300.0
904,8800.0
905,500.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,1700.0
920,7100.0
921,5500.0
922,11600.0
923,12700.0
924,12100.0
925,17100.0
926,49000.0
927,27200.0
928,12600.0
929,200.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,100.0
943,3200.0
944,11600.0
945,20900.0
946,28600.0
947,26700.0
948,40700.0
949,23300.0
950,31000.0
951,13200.0
952,3800.0
953,200.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,100.0
967,3200.0
968,9300.0
969,17700.0
970,27000.0
971,35800.0
972,41900.0
973,41800.0
974,34400.0
975,22900.0
976,8900.0
977,400.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,100.0
991,3000.0
992,11000.0
993,19500.0
994,29100.0
995,36200.0
996,43500.0
997,51000.0
998,40800.0
999,17900.0
1000,7200.0
1001,600.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,200.0
1015,7300.0
1016,24700.0
1017,41600.0
1018,53000.0
1019,63700.0
1020,50400.0
1021,49100.0
1022,34000.0
1023,16100.0
1024,12900.0
1025,800.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,400.0
1039,12300.0
1040,27100.0
1041,34200.0
1042,27800.0
1043,25800.0
1044,25500.0
1045,22800.0
1046,13200.0
1047,7000.0
1048,2900.0
1049,500.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,100.0
1063,2600.0
1064,7900.0
1065,8300.0
1066,17300.0
1067,20100.0
1068,12100.0
1069,21400.0
1070,11400.0
1071,6100.0
1072,3600.0
1073,300.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,100.0
1087,2600.0
1088,9700.0
1089,9700.0
1090,28000.0
1091,31500.0
1092,28100.0
1093,21300.0
1094,30400.0
1095,21600.0
1096,5000.0
1097,500.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,200.0
1111,6900.0
1112,21000.0
1113,29900.0
1114,39800.0
1115,41400.0
1116,61800.0
1117,54100.0
1118,44300.0
1119,28900.0
1120,13700.0
1121,900.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,600.0
1135,12200.0
1136,29500.0
1137,42800.0
1138,54800.0
1139,62000.0
1140,63000.0
1141,57600.0
1142,46600.0
1143,28700.0
1144,11900.0
1145,600.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,400.0
1159,11000.0
1160,27200.0
1161,40300.0
1162,54000.0
1163,60900.0
1164,61500.0
1165,56700.0
1166,45900.0
1167,27500.0
1168,11900.0
1169,1100.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,500.0
1183,7900.0
1184,23600.0
1185,38900.0
1186,53800.0
1187,61000.0
1188,62800.0
1189,57700.0
1190,46000.0
1191,29500.0
1192,13800.0
1193,1400.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,600.0
1207,9900.0
1208,26100.0
1209,41100.0
1210,56200.0
1211,62600.0
1212,62700.0
1213,57600.0
1214,46800.0
1215,31600.0
1216,13900.0
1217,1200.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,900.0
1231,13800.0
1232,29900.0
1233,44500.0
1234,56500.0
1235,62900.0
1236,63800.0
1237,56600.0
1238,46300.0
1239,32400.0
1240,14400.0
1241,1200.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,700.0
1255,11900.0
1256,28800.0
1257,45200.0
